Circuit_ID,Driver_ID,Team_ID,Position,Starting Grid,Laps,Time/Retired,Points,Fastest Lap,Year,Total Time/Gap/Retirement,+1 Pt,Set Fastest Lap,Fastest Lap Time
11,11,6,NC,12.0,22,DNF,0,1:30.280,2014,,,,
11,7,6,NC,9.0,14,DNF,0,1:41.151,2014,,,,
11,16,10,NC,14.0,10,DNF,0,1:46.312,2014,,,,
11,18,11,NC,19.0,7,DNF,0,1:48.459,2014,,,,
12,2,2,1,5.0,44,1:24:36.556,25,1:52.974,2014,,,,
12,1,1,2,1.0,44,+3.383,18,1:50.511,2014,,,,
12,6,5,3,6.0,44,+28.032,15,1:52.716,2014,,,,
12,8,4,4,8.0,44,+36.815,12,1:54.090,2014,,,,
12,19,2,5,3.0,44,+52.196,10,1:52.953,2014,,,,
12,4,3,6,10.0,44,+54.580,8,1:53.483,2014,,,,
12,5,4,7,4.0,44,+61.162,6,1:53.879,2014,,,,
12,11,6,8,13.0,44,+64.293,4,1:54.532,2014,,,,
12,10,7,9,11.0,44,+65.347,2,1:54.159,2014,,,,
12,7,6,10,18.0,44,+65.697,1,1:53.612,2014,,,,
12,9,7,11,12.0,44,+71.920,0,1:53.276,2014,,,,
12,3,3,12,7.0,44,+74.262,0,1:54.203,2014,,,,
12,21,5,13,9.0,44,+75.975,0,1:52.512,2014,,,,
12,12,8,14,14.0,44,+82.447,0,1:52.413,2014,,,,
12,13,8,15,20.0,44,+90.825,0,1:54.000,2014,,,,
12,14,9,16,19.0,43,+1 lap,0,1:55.247,2014,,,,
12,18,11,17,22.0,43,+1 lap,0,1:55.900,2014,,,,
12,15,9,18,16.0,39,DNF,0,1:56.347,2014,,,,
12,20,1,NC,2.0,38,DNF,0,1:53.707,2014,,,,
12,16,10,NC,15.0,33,DNF,0,1:55.649,2014,,,,
12,17,10,NC,17.0,1,DNF,0,,2014,,,,
12,23,11,NC,21.0,1,DNF,0,,2014,,,,
13,20,1,1,1.0,53,1:19:10.236,25,1:28.004,2014,,,,
13,1,1,2,2.0,53,+3.175,18,1:28.206,2014,,,,
13,21,5,3,4.0,53,+25.026,15,1:28.342,2014,,,,
13,6,5,4,3.0,53,+40.786,12,1:28.559,2014,,,,
13,2,2,5,9.0,53,+50.309,10,1:28.588,2014,,,,
13,19,2,6,8.0,53,+59.965,8,1:29.141,2014,,,,
13,11,6,7,10.0,53,+62.518,6,1:29.107,2014,,,,
13,4,3,8,6.0,53,+63.063,4,1:29.245,2014,,,,
13,8,4,9,11.0,53,+63.535,2,1:28.942,2014,,,,
13,3,3,10,5.0,53,+66.171,1,1:29.283,2014,,,,
13,10,7,11,21.0,53,+71.184,0,1:28.486,2014,,,,
13,7,6,12,13.0,53,+72.606,0,1:29.366,2014,,,,
13,9,7,13,12.0,53,+73.093,0,1:29.121,2014,,,,
13,17,10,14,16.0,52,+1 lap,0,1:29.856,2014,,,,
13,12,8,15,14.0,52,+1 lap,0,1:29.375,2014,,,,
13,16,10,16,17.0,52,+1 lap,0,1:30.083,2014,,,,
13,22,11,17,18.0,52,+1 lap,0,1:30.758,2014,,,,
13,15,9,18,19.0,52,+1 lap,0,1:30.521,2014,,,,
13,18,11,19,22.0,51,+2 laps,0,1:30.280,2014,,,,
13,13,8,20,15.0,51,+2 laps,0,1:29.449,2014,,,,
13,5,4,NC,7.0,28,DNF,0,1:29.680,2014,,,,
13,14,9,NC,20.0,5,DNF,0,1:32.569,2014,,,,
14,20,1,1,1.0,60,2:00:04.795,25,1:50.417,2014,,,,
14,19,2,2,4.0,60,+13.534,18,1:52.519,2014,,,,
14,2,2,3,3.0,60,+14.273,15,1:52.569,2014,,,,
14,5,4,4,5.0,60,+15.389,12,1:52.115,2014,,,,
14,21,5,5,6.0,60,+42.161,10,1:53.283,2014,,,,
14,9,7,6,12.0,60,+56.801,8,1:51.937,2014,,,,
14,11,6,7,15.0,60,+59.038,6,1:52.007,2014,,,,
14,8,4,8,7.0,60,+60.641,4,1:52.872,2014,,,,
14,7,6,9,13.0,60,+61.661,2,1:52.762,2014,,,,
14,3,3,10,9.0,60,+62.230,1,1:51.639,2014,,,,
14,6,5,11,8.0,60,+65.065,0,1:52.515,2014,,,,
14,17,10,12,18.0,60,+66.915,0,1:53.213,2014,,,,
14,16,10,13,16.0,60,+68.029,0,1:53.543,2014,,,,
14,10,7,14,10.0,60,+72.008,0,1:51.761,2014,,,,
14,18,11,15,22.0,60,+94.188,0,1:55.416,2014,,,,
14,15,9,16,19.0,60,+94.543,0,1:53.538,2014,,,,
14,14,9,17,21.0,59,+1 lap,0,1:53.807,2014,,,,
14,4,3,NC,11.0,52,DNF,0,1:53.707,2014,,,,
14,12,8,NC,17.0,40,DNF,0,1:53.948,2014,,,,
14,13,8,NC,14.0,17,DNF,0,1:55.684,2014,,,,
14,1,1,NC,2.0,13,DNF,0,1:56.769,2014,,,,
14,22,11,NC,20.0,0,DNS,0,,2014,,,,
15,20,1,1,2.0,44,1:51:43.021,25,,2014,,,,
15,1,1,2,1.0,44,+9.180,18,,2014,,,,
15,19,2,3,9.0,44,+29.122,15,,2014,,,,
15,2,2,4,6.0,44,+38.818,12,,2014,,,,
15,4,3,5,8.0,44,+67.550,10,,2014,,,,
15,6,5,6,3.0,44,+113.773,8,,2014,,,,
15,21,5,7,4.0,44,+115.126,6,,2014,,,,
15,7,6,8,13.0,44,+115.949,4,,2014,,,,
15,9,7,9,20.0,44,+127.638,2,,2014,,,,
15,11,6,10,11.0,43,DNF,1,,2014,,,,
15,10,7,11,12.0,43,+1 lap,0,,2014,,,,
15,8,4,12,10.0,43,+1 lap,0,,2014,,,,
15,13,8,13,15.0,43,+1 lap,0,,2014,,,,
15,3,3,14,7.0,43,+1 lap,0,,2014,,,,
15,16,10,15,16.0,43,+1 lap,0,,2014,,,,
15,17,10,16,22.0,43,+1 lap,0,,2014,,,,
15,18,11,17,17.0,43,+1 lap,0,,2014,,,,
15,14,9,18,21.0,43,+1 lap,0,,2014,,,,
15,22,11,19,19.0,43,+1 lap,0,,2014,,,,
15,15,9,20,18.0,41,DNF,0,,2014,,,,
15,12,8,21,14.0,40,DNF,0,,2014,,,,
15,5,4,NC,5.0,2,DNF,0,,2014,,,,
16,20,1,1,1.0,53,1:31:50.744,25,1:41.606,2014,,,,
16,1,1,2,2.0,53,+13.657,18,1:41.360,2014,,,,
16,6,5,3,3.0,53,+17.425,15,1:40.896,2014,,,,
16,4,3,4,4.0,53,+30.234,12,1:41.964,2014,,,,
16,3,3,5,11.0,53,+53.616,10,1:43.076,2014,,,,
16,5,4,6,7.0,53,+60.016,8,1:42.179,2014,,,,
16,2,2,7,6.0,53,+61.812,6,1:43.050,2014,,,,
16,19,2,8,10.0,53,+66.185,4,1:42.630,2014,,,,
16,8,4,9,8.0,53,+78.877,2,1:42.919,2014,,,,
16,11,6,10,12.0,53,+80.067,1,1:42.924,2014,,,,
16,21,5,11,18.0,53,+80.877,0,1:42.879,2014,,,,
16,7,6,12,17.0,53,+81.309,0,1:42.685,2014,,,,
